"Mixpanel";"Tento analytický nástroj jsem použil hned v několika projektech. Samozřejmě jsem vytvořil vlastní EventReporter pro zamezení vendor lock-inu, ale zatím Mixpanel vypadá dobře."
"Git";
"GitLab";
"GitHub";
"Slack";
"Zoom";
"GitHub Issues";
"Jira";
"Clockify";
"Jenkins";"Jenkins jsme používali v Bach systems pro automatizované nasazování webových stránek z master branche v Gitu. Jenkins také sám spouštěl testy před nasazením, a tak to byla taková poslední kontrola před samotným provozem."
"Teamcity";
"Ktor";
"MariaDB";
"MySQL";
"PostgreSQL";
"Elasticsearch";"Nemám jen upřímně až tak v lásce pro jeho složitost, avšak jakmile se člověk dostane do bodu, kdy databáze a hledání funguje, tak musím říct, že je to velice spolehlivé řešení. Sice je to docela hardwarově náročné, ale jeho výkonnost a HW nároky se s rostoucím počtem dotazů prakticky nemění, což je dost užitečné. Alespoň teoreticky pak lze provozovat tento search engine distribuovaně a škálovat tak výkonnost systému (s tím ale zatím nemám zkušenost)."
"Apache";
"Nginx";
"Supervisord";"Supervisord je velmi jednoduchý a elegantní nástroj pro správu procesů. Velmi úspěšně jsem jej použil pro nasazení mikroslužby ve formě fatJaru obsahujícího REST API s vlastním embedded web serverem (pomocí Ktoru). Narozdíl od nutnosti kompilace waru, a složité konfigurace aplikačního serveru mi Supervisord přišel o mnoho lepší."
"TLS/SSL";
"Wowza Streaming Engine";
"AWS";
"Hetzner";
"Linode";
"Digital Ocean";
"GNU/Linux";"Hrdý uživatel Linuxu od roku 2007! Začínal jsem s Ubuntu, a kolem roku 2014 přešel na Debian, který používám jako hlavní systém dodnes. Na serveru mám zkušenosti kromě Debianu a Ubuntu také s CentOS."
"Android";
"Mac OS";"V letech 2022-2025 jsem Mac OS používal jako pracovní systém. Od počátku roku 2026 jsem se však vrátil zpět k Debianu i pro práci."
"Windows";"Jsem již starý, a tak pamatuji dokonce ještě Windows 95. Profesně jsem se pak věnoval základní správě Windows XP a 7."
"HTML/CSS";
"SQL";
"LaTeX";"V LaTeXu jsem sice pouhý amatér, ale například na tvorbu PDF verze mého CV moje skromné dovednosti stačily. :-)"
